study_id,year,model,learning_regime,dataset_variant,split_or_protocol,accuracy_pct,balanced_accuracy_pct,auc_roc,f1_pct,precision_pct,recall_pct,specificity_pct,nll,comparability,verification,notes,accuracy_sd,auc_sd,protocol_family,study_title,source_url,evidence_locator
ge2024_mmsen,2024,MMSEN,supervised ensemble,PCam,5-fold cross-validation,,98.00,0.9901,98.00,,,,,low,primary article,AUC SD=0.0002; BAcc/F1 SD=0.08 pp; MCC=96.00±0.16%; Review scope: model fitted/adapted and evaluated on PCam.,,,five_fold_cross_validation,Tumor Detection in Breast Cancer Pathology Patches Using a Multi-scale Multi-head Self-attention Ensemble Network on Whole Slide Images,https://doi.org/10.1016/j.mlwa.2024.100592,primary article result table
wang2024_resnet18_clean,2024,ResNet18,supervised clean labels,PCam,label-noise experiment,94.14,94.14,,,,,,,separate,primary paper,Review scope: model fitted/adapted and evaluated on PCam.,,,custom_subset_32766_8_1_1,Contrastive Learning Joint Regularization for Pathological Image Classification with Noisy Labels,https://doi.org/10.3390/electronics13132456,Table 4
wang2024_resnet34_clean,2024,ResNet34,supervised clean labels,PCam,label-noise experiment,94.72,94.72,,,,,,,separate,primary paper,Review scope: model fitted/adapted and evaluated on PCam.,,,custom_subset_32766_8_1_1,Contrastive Learning Joint Regularization for Pathological Image Classification with Noisy Labels,https://doi.org/10.3390/electronics13132456,Table 4
wang2024_resnet50_clean,2024,ResNet50,supervised clean labels,PCam,label-noise experiment,94.17,94.17,,,,,,,separate,primary paper,Review scope: model fitted/adapted and evaluated on PCam.,,,custom_subset_32766_8_1_1,Contrastive Learning Joint Regularization for Pathological Image Classification with Noisy Labels,https://doi.org/10.3390/electronics13132456,Table 4
wang2024_densenet121_clean,2024,DenseNet121,supervised clean labels,PCam,label-noise experiment,94.69,94.69,,,,,,,separate,primary paper,Review scope: model fitted/adapted and evaluated on PCam.,,,custom_subset_32766_8_1_1,Contrastive Learning Joint Regularization for Pathological Image Classification with Noisy Labels,https://doi.org/10.3390/electronics13132456,Table 4
wang2024_densenet161_clean,2024,DenseNet161,supervised clean labels,PCam,label-noise experiment,95.27,95.27,,,,,,,separate,primary paper,Review scope: model fitted/adapted and evaluated on PCam.,,,custom_subset_32766_8_1_1,Contrastive Learning Joint Regularization for Pathological Image Classification with Noisy Labels,https://doi.org/10.3390/electronics13132456,Table 4
stacke2022_supervised_from_scratch_10,2022,ResNet-50 — Supervised from scratch,supervised scratch,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,10 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,73.3,,0.805,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,4.8,0.055,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_supervised_from_scratch_20,2022,ResNet-50 — Supervised from scratch,supervised scratch,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,20 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,77.8,,0.855,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,2.3,0.027,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_supervised_from_scratch_50,2022,ResNet-50 — Supervised from scratch,supervised scratch,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,50 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,82.5,,0.9,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.9,0.01,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_supervised_from_scratch_100,2022,ResNet-50 — Supervised from scratch,supervised scratch,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,100 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,89.3,,0.96,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,1.7,0.009,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_supervised_from_scratch_216,2022,ResNet-50 — Supervised from scratch,supervised scratch,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,216 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,93.1,,0.979,,,,,,medium,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.2,0.001,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_imagenet_supervised_10,2022,ResNet-50 — ImageNet supervised,ImageNet transfer; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,10 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,74.9,,0.838,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,4.9,0.046,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_imagenet_supervised_20,2022,ResNet-50 — ImageNet supervised,ImageNet transfer; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,20 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,80.5,,0.887,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,3.1,0.024,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_imagenet_supervised_50,2022,ResNet-50 — ImageNet supervised,ImageNet transfer; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,50 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,84.2,,0.918,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.5,0.004,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_imagenet_supervised_100,2022,ResNet-50 — ImageNet supervised,ImageNet transfer; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,100 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,85.6,,0.928,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.4,0.002,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_imagenet_supervised_216,2022,ResNet-50 — ImageNet supervised,ImageNet transfer; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,216 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,86.1,,0.935,,,,,,medium,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.1,0.0,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_original_10,2022,"ResNet-50 — SimCLR Breast, Original",in-domain SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,10 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,76.7,,0.83,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,3.9,0.072,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_original_20,2022,"ResNet-50 — SimCLR Breast, Original",in-domain SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,20 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,77.8,,0.865,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,2.7,0.057,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_original_50,2022,"ResNet-50 — SimCLR Breast, Original",in-domain SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,50 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,83.4,,0.92,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,2.6,0.032,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_original_100,2022,"ResNet-50 — SimCLR Breast, Original",in-domain SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,100 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,86.5,,0.947,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.5,0.008,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_original_216,2022,"ResNet-50 — SimCLR Breast, Original",in-domain SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,216 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,88.7,,0.957,,,,,,medium,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.3,0.001,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_base_plus_scale_10,2022,"ResNet-50 — SimCLR Breast, Base + Scale",in-domain SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,10 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,78.0,,0.842,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,5.0,0.074,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_base_plus_scale_20,2022,"ResNet-50 — SimCLR Breast, Base + Scale",in-domain SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,20 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,80.2,,0.884,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,1.8,0.031,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_base_plus_scale_50,2022,"ResNet-50 — SimCLR Breast, Base + Scale",in-domain SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,50 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,85.5,,0.929,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,1.8,0.019,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_base_plus_scale_100,2022,"ResNet-50 — SimCLR Breast, Base + Scale",in-domain SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,100 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,87.4,,0.944,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.8,0.01,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_simclr_breast_base_plus_scale_216,2022,"ResNet-50 — SimCLR Breast, Base + Scale",in-domain SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,216 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,89.6,,0.957,,,,,,medium,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.1,0.0,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_original_10,2022,"ResNet-50 — Multidata, Original",out-of-domain histopathology SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,10 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,72.6,,0.82,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,2.9,0.041,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_original_20,2022,"ResNet-50 — Multidata, Original",out-of-domain histopathology SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,20 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,73.6,,0.837,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,2.7,0.044,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_original_50,2022,"ResNet-50 — Multidata, Original",out-of-domain histopathology SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,50 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,79.6,,0.888,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,2.4,0.021,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_original_100,2022,"ResNet-50 — Multidata, Original",out-of-domain histopathology SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,100 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,82.3,,0.91,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,1.4,0.015,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_original_216,2022,"ResNet-50 — Multidata, Original",out-of-domain histopathology SimCLR; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,216 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,84.3,,0.921,,,,,,medium,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.1,0.001,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_base_plus_scale_10,2022,"ResNet-50 — Multidata, Base + Scale",out-of-domain histopathology SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,10 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,73.2,,0.827,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,3.2,0.047,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_base_plus_scale_20,2022,"ResNet-50 — Multidata, Base + Scale",out-of-domain histopathology SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,20 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,73.4,,0.839,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,3.2,0.053,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_base_plus_scale_50,2022,"ResNet-50 — Multidata, Base + Scale",out-of-domain histopathology SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,50 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,79.5,,0.892,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,1.6,0.015,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_base_plus_scale_100,2022,"ResNet-50 — Multidata, Base + Scale",out-of-domain histopathology SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,100 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,81.8,,0.909,,,,,,restricted-label,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,1.6,0.012,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
stacke2022_multidata_base_plus_scale_216,2022,"ResNet-50 — Multidata, Base + Scale",out-of-domain histopathology SimCLR; pathology augmentations; linear downstream classifier,PatchCamelyon20x; 256x256; same coordinates and WSI split as PCam,216 labeled training WSIs; validation 54 WSIs; test 129 WSIs; five runs,83.1,,0.909,,,,,,medium,"primary paper full text, Table 6",Not pixel-identical to official PCam: resampled at 20x/0.5 µm per pixel.,0.1,0.001,pcam20x_resampled,Learning Representations with Contrastive Self-Supervised Learning for Histopathology Applications,https://doi.org/10.59275/j.melba.2022-f9a1,Table 6
histokt2022_single_adp,2022,ResNet-18; source=ADP,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,76.37,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,0.92,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_mhist,2022,ResNet-18; source=MHIST,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,77.68,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,0.61,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_bach,2022,ResNet-18; source=BACH,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,79.36,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,0.66,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_ajlymph,2022,ResNet-18; source=AJ-Lymph,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.34,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,0.9,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_pcam,2022,ResNet-18; source=PCam,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.4,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,1.39,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_crc,2022,ResNet-18; source=CRC,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.39,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,2.34,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
